rank,character,read_value,candidates,correct
1,Villager,83.0,{'83': 3},
2,Ike,23.0,{'23': 3},
3,Shulk,7.0,{'7': 6},
4,Ganondorf,6.0,{'6': 6},
4,King Dedede,6.0,{'6': 6},
6,Cloud,4.0,{'4': 6},
7,Little Mac,3.0,{'3': 6},
8,Palutena,2.0,{'2': 6},
8,Corrin,2.0,{'2': 3},
8,Hero,2.0,{'2': 3},
8,Byleth,2.0,{'2': 3},
8,Min Min,2.0,{'2': 3},
13,Link,1.0,{'1': 3},
13,Ness,1.0,{'1': 3},
13,Captain Falcon,1.0,{'1': 3},
13,Bowser,1.0,{'1': 3},
13,Toon Link,1.0,{'1': 3},
13,Isabelle,1.0,{'1': 3},
13,Banjo and Kazooie,1.0,{'1': 3},
20,Mario,0.0,{'0': 2},
20,Donkey Kong,0.0,{'0': 3},
20,Samus,0.0,{'0': 1},
20,Yoshi,0.0,{'0': 1},
20,Kirby,0.0,{'0': 2},
20,Fox,0.0,{'0': 2},
20,Luigi,0.0,{'0': 3},
20,Jigglypuff,0.0,{'0': 2},
20,Peach,0.0,{'0': 2},
20,Ice Climbers,0.0,{'0': 2},
20,Zelda,0.0,{'0': 2},
20,Pichu,0.0,{'0': 2},
20,Falco,0.0,{'0': 1},
20,Marth,0.0,{'0': 2},
20,Young Link,0.0,{'0': 2},
20,Chrom,0.0,{'0': 1},
20,Meta Knight,0.0,{'0': 1},
20,Pit,0.0,{'0': 2},
20,Dark Pit,0.0,{'0': 1},
20,Zero Suit Samus,0.0,{'0': 2},
20,Snake,0.0,{'0': 1},
20,Lucas,0.0,{'0': 1},
20,Lucario,0.0,{'0': 1},
20,Wolf,0.0,{'0': 2},
20,Mega Man,0.0,{'0': 1},
20,Pac-Man,0.0,"{'0': 1, '6': 1}",
20,Bayonetta,0.0,{'0': 2},
20,Inkling,0.0,{'0': 1},
20,Ridley,0.0,{'0': 1},
20,King K Rool,0.0,{'0': 1},
20,Piranha Plant,0.0,{'0': 3},
20,Joker,0.0,{'0': 2},
20,Terry,0.0,{'0': 2},
20,Sephiroth,0.0,{'0': 2},
20,Dark Samus,0.0,{'0': 1},
20,Pikachu,0.0,{'0': 1},
20,Daisy,0.0,{'0': 2},
20,Sheik,0.0,{'0': 2},
20,Dr Mario,0.0,{'0': 1},
20,Lucina,0.0,{'0': 2},
20,Mewtwo,0.0,{'0': 1},
20,Roy,0.0,{'0': 3},
20,Mr Game and Watch,0.0,{'0': 1},
20,Wario,0.0,{'0': 1},
20,Pokemon Trainer,0.0,{'0': 2},
20,Diddy Kong,0.0,{'0': 1},
20,Sonic,0.0,{'0': 2},
20,Olimar,0.0,{'0': 2},
20,ROB,0.0,{'0': 4},
20,Wii Fit Trainer,0.0,{'0': 1},
20,Rosalina and Luma,0.0,{'0': 1},
20,Greninja,0.0,{'0': 2},
20,Robin,0.0,{'0': 2},
20,Bowser Jr,0.0,{'0': 2},
20,Duck Hunt,0.0,{'0': 1},
20,Ryu,0.0,"{'0': 1, '8': 1}",
20,Ken,0.0,{'0': 2},
20,Simon,0.0,{'0': 1},
20,Richter,0.0,{'0': 3},
20,Incineroar,0.0,{'0': 2},
20,Steve,0.0,{'0': 3},
20,Pyra-Mythra,0.0,{'0': 3},
20,Kazuya,0.0,{'0': 2},
20,Sora,0.0,{'0': 2},
20,Mii Brawler,0.0,{'0': 1},
20,Mii Swordsman,0.0,{'0': 2},
20,Mii Gunner,0.0,{'0': 2},
